/app/Repos/pandas/doc/sphinxext/docscrape.py,87,112,__init__,None,[self:Any;docstring:Any;config:Any],/app/Repos/pandas/doc/sphinxext/traitsdoc.py,30,77,__init__,None,[self:Any;cls:Any;modulename:Any;func_doc:Any]
/app/Repos/pandas/pandas/tools/tests/test_pivot.py,295,301,test_crosstab_single,None,[self:Any],/app/Repos/pandas/pandas/tools/tests/test_pivot.py,301,315,test_crosstab_multiple,None,[self:Any]
/app/Repos/pandas/pandas/io/tests/test_stata.py,135,145,test_write_dta5,None,[self:Any],/app/Repos/pandas/pandas/io/tests/test_stata.py,145,154,test_write_dta6,None,[self:Any]
/app/Repos/pandas/pandas/tools/rplot.py,35,57,__call__,None,[self:Any;data:Any;index:Any],/app/Repos/pandas/pandas/tools/rplot.py,130,144,__call__,None,[self:Any;data:Any;index:Any]
/app/Repos/pandas/pandas/core/panel4d.py,37,44,panel4d_init,None,[self:Any;data:Any;labels:Any;items:Any;major_axis:Any;minor_axis:Any;copy:Any;dtype:Any],/app/Repos/pandas/pandas/core/panel.py,238,244,__init__,None,[self:Any;data:Any;items:Any;major_axis:Any;minor_axis:Any;copy:Any;dtype:Any]
/app/Repos/pandas/pandas/tools/rplot.py,78,109,__call__,None,[self:Any;data:Any;index:Any],/app/Repos/pandas/pandas/tools/rplot.py,130,144,__call__,None,[self:Any;data:Any;index:Any]
/app/Repos/pandas/pandas/compat/scipy.py,8,84,scoreatpercentile,None,[a:Any;per:Any;limit:Any;interpolation_method:Any],/app/Repos/pandas/pandas/core/algorithms.py,217,291,quantile,None,[x:Any;q:Any;interpolation_method:Any]
/app/Repos/pandas/pandas/util/compat.py,404,421,__add__,None,[self:Any;other:Any],/app/Repos/pandas/pandas/util/compat.py,437,454,__or__,None,[self:Any;other:Any]
/app/Repos/pandas/pandas/util/compat.py,421,437,__sub__,None,[self:Any;other:Any],/app/Repos/pandas/pandas/util/compat.py,437,454,__or__,None,[self:Any;other:Any]
/app/Repos/pandas/pandas/core/categorical.py,10,28,_cat_compare_op,None,[op:Any],/app/Repos/pandas/pandas/core/categorical.py,11,23,f,None,[self:Any;other:Any]
/app/Repos/pandas/pandas/tools/rplot.py,35,57,__call__,None,[self:Any;data:Any;index:Any],/app/Repos/pandas/pandas/tools/rplot.py,78,109,__call__,None,[self:Any;data:Any;index:Any]
/app/Repos/pandas/pandas/compat/scipy.py,8,84,scoreatpercentile,None,[a:Any;per:Any;limit:Any;interpolation_method:Any],/app/Repos/pandas/pandas/core/algorithms.py,263,284,_get_score,None,[at:Any]
/app/Repos/pandas/bench/bench_merge.py,9,31,get_test_data,None,[ngroups:Any;n:Any],/app/Repos/pandas/pandas/tools/tests/test_merge.py,28,39,get_test_data,None,[ngroups:Any;n:Any]
/app/Repos/pandas/pandas/util/compat.py,317,329,most_common,None,[self:Any;n:Any],/app/Repos/pandas/pandas/util/counter.py,85,98,most_common,None,[self:Any;n:Any]
/app/Repos/pandas/pandas/util/compat.py,351,380,update,None,[self:Any;iterable:Any;**kwds:Any],/app/Repos/pandas/pandas/util/counter.py,129,165,update,None,[self:Any;iterable:Any;**kwds:Any]
/app/Repos/pandas/pandas/util/compat.py,351,380,update,None,[self:Any;iterable:Any;**kwds:Any],/app/Repos/pandas/pandas/util/counter.py,165,192,subtract,None,[self:Any;iterable:Any;**kwds:Any]
/app/Repos/pandas/pandas/util/compat.py,389,404,__repr__,None,[self:Any],/app/Repos/pandas/pandas/util/counter.py,206,221,__repr__,None,[self:Any]
/app/Repos/pandas/pandas/util/compat.py,404,421,__add__,None,[self:Any;other:Any],/app/Repos/pandas/pandas/util/counter.py,221,240,__add__,None,[self:Any;other:Any]
/app/Repos/pandas/pandas/util/compat.py,421,437,__sub__,None,[self:Any;other:Any],/app/Repos/pandas/pandas/util/counter.py,221,240,__add__,None,[self:Any;other:Any]
/app/Repos/pandas/pandas/util/compat.py,437,454,__or__,None,[self:Any;other:Any],/app/Repos/pandas/pandas/util/counter.py,221,240,__add__,None,[self:Any;other:Any]
