group_id,group_size,avg_similarity,total_methods,deleted_count,deleted_ratio,is_fully_deleted,is_partially_deleted,is_surviving
483,3,73.5,3,0,0.0,False,False,True
1293,2,84.0,2,0,0.0,False,False,True
493,3,76.0,3,0,0.0,False,False,True
1267,2,90.0,2,0,0.0,False,False,True
1284,2,78.0,2,0,0.0,False,False,True
1255,2,72.0,2,0,0.0,False,False,True
84,7,83.66666666666667,7,0,0.0,False,False,True
111,6,75.55555555555556,6,0,0.0,False,False,True
1295,2,86.0,2,0,0.0,False,False,True
1261,2,78.0,2,0,0.0,False,False,True
1282,2,76.0,2,0,0.0,False,False,True
1286,2,76.0,2,0,0.0,False,False,True
60,8,76.0,8,0,0.0,False,False,True
1264,2,80.0,2,1,0.5,False,True,False
24,11,80.73469387755102,11,0,0.0,False,False,True
15,16,79.89285714285714,17,0,0.0,False,False,True
1272,2,100.0,2,0,0.0,False,False,True
85,7,77.625,7,0,0.0,False,False,True
0,45,80.42553191489361,45,0,0.0,False,False,True
1254,2,75.0,2,0,0.0,False,False,True
525,3,83.5,3,0,0.0,False,False,True
1304,2,86.0,2,0,0.0,False,False,True
1300,2,78.0,2,0,0.0,False,False,True
1378,2,100.0,2,0,0.0,False,False,True
1303,2,100.0,2,0,0.0,False,False,True
505,3,78.5,5,0,0.0,False,False,True
1308,2,87.0,2,0,0.0,False,False,True
1379,2,87.0,2,0,0.0,False,False,True
1301,2,96.0,2,0,0.0,False,False,True
1351,2,82.0,2,0,0.0,False,False,True
498,3,82.0,3,0,0.0,False,False,True
1311,2,80.0,2,0,0.0,False,False,True
1307,2,72.0,2,0,0.0,False,False,True
270,4,77.0,4,0,0.0,False,False,True
1354,2,92.0,2,0,0.0,False,False,True
1302,2,91.0,2,0,0.0,False,False,True
1318,2,89.0,2,0,0.0,False,False,True
1321,2,78.0,2,0,0.0,False,False,True
113,6,87.06666666666666,6,0,0.0,False,False,True
502,3,84.0,3,0,0.0,False,False,True
1309,2,86.0,2,0,0.0,False,False,True
1305,2,74.0,2,0,0.0,False,False,True
25,11,82.3125,11,0,0.0,False,False,True
1312,2,75.0,2,0,0.0,False,False,True
1306,2,71.0,2,0,0.0,False,False,True
1324,2,70.0,2,0,0.0,False,False,True
1587,1,0.0,2,0,0.0,False,False,True
271,4,80.83333333333333,4,0,0.0,False,False,True
1314,2,92.0,2,0,0.0,False,False,True
112,6,79.5,6,0,0.0,False,False,True
115,6,80.57142857142857,6,0,0.0,False,False,True
1325,2,87.0,2,0,0.0,False,False,True
496,3,91.5,3,0,0.0,False,False,True
1390,2,82.0,2,0,0.0,False,False,True
1385,2,75.0,2,0,0.0,False,False,True
497,3,82.5,3,0,0.0,False,False,True
499,3,81.66666666666667,3,0,0.0,False,False,True
1337,2,72.0,2,0,0.0,False,False,True
1386,2,74.0,2,0,0.0,False,False,True
1323,2,96.0,2,0,0.0,False,False,True
1344,2,90.0,2,0,0.0,False,False,True
1359,2,90.0,2,0,0.0,False,False,True
494,3,73.0,3,0,0.0,False,False,True
162,5,73.42857142857143,5,0,0.0,False,False,True
1387,2,83.0,2,0,0.0,False,False,True
1316,2,100.0,2,0,0.0,False,False,True
1319,2,75.0,2,0,0.0,False,False,True
1361,2,100.0,2,0,0.0,False,False,True
1326,2,100.0,2,0,0.0,False,False,True
